\bAbsess\b	 abscess 	CI	Line_47
\bAbcess\b	 abscess 	CI	Line_50
\bAbcessed\b	 abscessed 	CI	Line_53
\bAssualt\b	 assault 	CI	Line_56
\bClearence\b	 clearance 	CI	Line_59
\bCommittment\b	 commitment 	CI	Line_62
\bHemmorrhage\b	 hemorrhage 	CI	Line_65
\bHemmorrhoids\b	 hemorrhoids 	CI	Line_68
\bHemmorrhoid\b	 hemorrhoids 	CI	Line_71
\bHemmorhoids\b	 hemorrhoids 	CI	Line_74
\bHemmorhoid\b	 hemorrhoids 	CI	Line_77
\bHemorroids\b	 hemorrhoids 	CI	Line_80
\bHemorroid\b	 hemorrhoids 	CI	Line_83
\bHemorhoids\b	 hemorrhoids 	CI	Line_86
\bHemorhoid\b	 hemorrhoids 	CI	Line_89
\bHeamorrhoids\b	 hemorrhoids 	CI	Line_92
\bHeamorrhoid\b	 hemorrhoids 	CI	Line_95
\bMelana\b	 melena 	CI	Line_98
\bMigrane\b	 migraine 	CI	Line_101
\bNaseau\b	 nausea 	CI	Line_104
\bNausia\b	 nausea 	CI	Line_107
\bPalpatation\b	 palpitation 	CI	Line_110
\bPeripherall\b	 peripheral 	CI	Line_113
\bPian\b	 pain 	CI	Line_116
\bRigth\b	 right 	CI	Line_119
\bAbsess\b	 abscess 	CI	Line_122
\bSyncopy\b	 syncope 	CI	Line_125
\bSymtoms\b	 symptoms 	CI	Line_128
\bSymptomes\b	 symptoms 	CI	Line_131
\bSypmtoms\b	 symptoms 	CI	Line_134
\bSuicidial\b	 suicidal 	CI	Line_137
\bSucidal\b	 suicidal 	CI	Line_137
\bTetnus\b	 tetanus 	CI	Line_140
\bVomitting\b	 vomiting 	CI	Line_143
\bVomting\b	 vomiting 	CI	Line_146
\bVomtig\b	 vomiting 	CI	Line_149
\bVomitig\b	 vomiting 	CI	Line_152
\bVomit+ng\b	 vomiting 	CI	Line_155
\bWithdrawl\b	 withdrawal 	CI	Line_158
\bpneumonias\b	pneumonia 	CI	Line_158
\bpneumon\w*\b	pneumonia 	CI	Line_158
\bneumonia\b	pneumonia 	CI	Line_158
\bpeumonia\b	pneumonia 	CI	Line_158
\bpnumonia\b	pneumonia 	CI	Line_158
\bpnemonia\b	pneumonia 	CI	Line_158
\bpneuonia\b	pneumonia 	CI	Line_158
\bpneumnia\b	pneumonia 	CI	Line_158
\bpneumoia\b	pneumonia 	CI	Line_158
\bpneumona\b	pneumonia 	CI	Line_158
\bpneumoni\b	pneumonia 	CI	Line_158
\bppneumonia\b	pneumonia 	CI	Line_158
\bpnneumonia\b	pneumonia 	CI	Line_158
\bpneeumonia\b	pneumonia 	CI	Line_158
\bpneuumonia\b	pneumonia 	CI	Line_158
\bpneummonia\b	pneumonia 	CI	Line_158
\bpneumoonia\b	pneumonia 	CI	Line_158
\bpneumonnia\b	pneumonia 	CI	Line_158
\bpneumoniia\b	pneumonia 	CI	Line_158
\bpneumoniaa\b	pneumonia 	CI	Line_158
\bnpeumonia\b	pneumonia 	CI	Line_158
\bpenumonia\b	pneumonia 	CI	Line_158
\bpnuemonia\b	pneumonia 	CI	Line_158
\bpnemuonia\b	pneumonia 	CI	Line_158
\bpneuomnia\b	pneumonia 	CI	Line_158
\bpneumnoia\b	pneumonia 	CI	Line_158
\bpneumoina\b	pneumonia 	CI	Line_158
\boneumonia\b	pneumonia 	CI	Line_158
\b0neumonia\b	pneumonia 	CI	Line_158
\blneumonia\b	pneumonia 	CI	Line_158
\bpbeumonia\b	pneumonia 	CI	Line_158
pheumonia\b	pneumonia 	CI	Line_158
pjeumonia\b	pneumonia 	CI	Line_158
pmeumonia\b	pneumonia 	CI	Line_158
pnwumonia\b	pneumonia 	CI	Line_158
pn3umonia\b	pneumonia 	CI	Line_158
pn4umonia\b	pneumonia 	CI	Line_158
pnrumonia\b	pneumonia 	CI	Line_158
pnfumonia\b	pneumonia 	CI	Line_158
pndumonia\b	pneumonia 	CI	Line_158
pnsumonia\b	pneumonia 	CI	Line_158
pneymonia\b	pneumonia 	CI	Line_158
pne7monia\b	pneumonia 	CI	Line_158
pne8monia\b	pneumonia 	CI	Line_158
pneimonia\b	pneumonia 	CI	Line_158
pnekmonia\b	pneumonia 	CI	Line_158
pnejmonia\b	pneumonia 	CI	Line_158
pnehmonia\b	pneumonia 	CI	Line_158
pneunonia\b	pneumonia 	CI	Line_158
pneujonia\b	pneumonia 	CI	Line_158
pneukonia\b	pneumonia 	CI	Line_158
pneuminia\b	pneumonia 	CI	Line_158
pneum9nia\b	pneumonia 	CI	Line_158
pneum0nia\b	pneumonia 	CI	Line_158
pneumpnia\b	pneumonia 	CI	Line_158
pneumlnia\b	pneumonia 	CI	Line_158
pneumknia\b	pneumonia 	CI	Line_158
pneumobia\b	pneumonia 	CI	Line_158
